"date" "Rn" "p" "Ta" "uy" "Td" "ux" "Tc" "Long" "Lat"
"1" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22655261896186 44.7443275144735
"2" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22667892584666 44.7443283698414
"3" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.2268052327371 44.7443292250696
"4" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22693153963316 44.7443300801581
"5" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22705784653484 44.744330935107
"6" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22718415344215 44.7443317899162
"7" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22731046035508 44.7443326445857
"8" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22743676727364 44.7443334991155
"9" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22756307419782 44.7443343535057
"10" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22768938112761 44.7443352077562
"11" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22781568806303 44.744336061867
"12" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22794199500407 44.7443369158382
"13" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22806830195072 44.7443377696696
"14" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22819460890299 44.7443386233614
"15" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22832091586088 44.7443394769135
"16" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22844722282438 44.744340330326
"17" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.2285735297935 44.7443411835987
"18" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22869983676823 44.7443420367318
"19" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22882614374858 44.7443428897252
"20" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22895245073453 44.744343742579
"21" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22907875772609 44.744344595293
"22" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22920506472327 44.7443454478674
"23" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22933137172605 44.7443463003021
"24" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22945767873444 44.7443471525972
"25" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22655381928732 44.7442374993708
"26" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22668012597616 44.744238354736
"27" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22680643267062 44.7442392099616
"28" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22693273937071 44.7442400650475
"29" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22705904607642 44.7442409199937
"30" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22718535278776 44.7442417748002
"31" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22731165950472 44.744242629467
"32" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22743796622731 44.7442434839942
"33" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22756427295552 44.7442443383817
"34" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22769057968934 44.7442451926295
"35" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22781688642879 44.7442460467377
"36" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22794319317386 44.7442469007062
"37" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22806949992454 44.744247754535
"38" "2018-07-14" 1841601 97834.3125 301.5751953 -1.001180649 293.3803711 -0.0510915 29.7828685493997 8.22819580668084 44.7442486082241
