year,month,day,hour,Surface net solar radiation,Surface pressure,2 metre temperature,10 metre V wind component,2 metre dewpoint temperature,10 metre U wind component,Skin temperature
2009,1,10,1300,647862.25,98775.125,273.211669921875,-0.20073753595352173,269.33935546875,0.7126480340957642,274.190185546875
2009,1,11,1300,676951.1875,99129.8125,275.835693359375,-0.28192418813705444,268.49072265625,0.2327195405960083,275.136962890625
2009,1,12,1300,653942.875,98931.0,277.60400390625,-0.4786067008972168,268.104248046875,0.703434944152832,276.2890625
2009,1,13,1300,668203.75,98173.5,274.650390625,-0.8585479855537415,269.995849609375,0.9716716408729553,275.23828125
2009,1,14,1300,655881.25,97096.375,277.9130859375,-0.15109997987747192,270.0048828125,0.9102163314819336,276.787841796875
2009,1,15,1300,363925.0,97999.625,274.983154296875,-0.5000557899475098,271.708251953125,0.8711263537406921,275.384033203125
2009,1,16,1300,745139.375,98501.5,277.494873046875,-0.5065537691116333,272.077880859375,0.5870722532272339,276.973876953125
2009,1,17,1300,416376.3125,98491.8125,274.846435546875,-0.8822685480117798,272.235107421875,-0.06994771957397461,275.7138671875
2009,1,18,1300,270382.5625,97771.875,274.33251953125,-0.8411788940429688,272.796630859375,0.6774656176567078,274.9189453125
2009,1,19,1300,348284.5,97097.875,272.668212890625,-1.7301607131958008,271.906982421875,0.7293940782546997,274.29638671875
2009,1,20,1300,336655.125,96007.0,274.11865234375,-1.1356868743896484,273.0068359375,1.0242557525634766,275.72021484375
2009,1,21,1300,712865.4375,96526.75,276.443603515625,-0.17366278171539307,274.95654296875,0.9905633330345154,277.690673828125
2009,1,22,1300,834079.6875,96810.25,277.0966796875,-0.1509091854095459,270.026611328125,0.33556532859802246,277.2197265625
2009,1,23,1300,273752.25,95518.625,273.40283203125,-1.141465187072754,270.651123046875,0.7566028833389282,274.077880859375
2009,1,24,1300,153560.9375,94987.6875,272.51025390625,-1.6016921997070312,272.294189453125,2.3329343795776367,273.50439453125
2009,1,25,1300,804892.9375,96035.875,279.4970703125,-0.662600040435791,273.71044921875,0.2832167148590088,277.870361328125
2009,1,26,1300,205881.0625,96203.0,274.47412109375,-2.1398487091064453,273.712890625,0.771660327911377,274.552978515625
2009,1,27,1300,606973.5,96529.8125,277.796875,-1.0883111953735352,274.87451171875,-0.29334700107574463,277.714111328125
2009,1,28,1300,881921.375,97005.5625,277.423583984375,-0.5373435020446777,273.44970703125,0.548453152179718,278.434326171875
2009,1,29,1300,963507.875,97374.0625,279.60888671875,-0.7683994174003601,272.845703125,-0.5668508410453796,279.3857421875
2009,1,30,1300,785559.3125,97930.5,277.175537109375,-1.2766094207763672,274.691162109375,0.28150373697280884,278.7548828125
2009,1,31,1300,692921.8125,97476.25,274.892333984375,-1.5870256423950195,273.179931640625,0.29412025213241577,276.66650390625
2009,2,1,1300,333141.0,96940.875,273.6474609375,-3.1688175201416016,272.498046875,0.2941592335700989,274.854248046875
2009,2,2,1300,128637.0,96731.125,273.580322265625,-1.973118782043457,273.4228515625,0.458263635635376,273.664794921875
2009,2,3,1300,239497.6875,96510.8125,276.099365234375,-1.365194320678711,274.743408203125,1.654677391052246,276.80419921875
2009,2,4,1300,577654.75,96208.5625,278.9150390625,-0.4663567543029785,276.16357421875,-0.35041940212249756,278.24072265625
2009,2,5,1300,411703.9375,96660.6875,276.779541015625,-1.0317010879516602,276.481689453125,0.3419764041900635,277.20703125
2009,2,6,1300,403311.8125,95856.375,276.742431640625,-0.883562445640564,276.0673828125,1.0183067321777344,276.246826171875
2009,2,7,1300,643961.6875,95062.3125,280.342529296875,-0.36428725719451904,277.34716796875,0.43308699131011963,280.705322265625
2009,2,8,1300,1384213.0,95744.5,283.316650390625,0.7353039383888245,272.94384765625,3.0505943298339844,284.125732421875
2009,2,9,1300,1440015.0,97122.5625,283.139892578125,1.6471643447875977,274.394287109375,-0.5600799918174744,285.701171875
2009,2,10,1300,1076688.0,96682.9375,280.134033203125,-1.0302104949951172,275.8681640625,0.8790696859359741,282.833740234375
2009,2,11,1300,1320540.0,96808.4375,282.462158203125,-3.943632125854492,264.484130859375,1.4649009704589844,282.109375
2009,2,12,1300,1031740.625,97184.5,279.5888671875,-0.923957884311676,266.559326171875,1.452871322631836,282.049560546875
2009,2,13,1300,1514931.0,97522.9375,279.225341796875,-2.297792434692383,260.6953125,1.3548660278320312,280.838134765625
2009,2,14,1300,1569645.0,97705.0625,279.93408203125,-2.424605369567871,265.39208984375,2.1358633041381836,281.298095703125
2009,2,15,1300,1569556.0,98409.5,279.408935546875,-0.8218055963516235,264.471435546875,0.8808605074882507,281.84912109375
2009,2,16,1300,1505401.0,98183.9375,280.918701171875,0.9582717418670654,269.626708984375,0.39934319257736206,283.4375
2009,2,17,1300,1516529.0,97469.1875,282.90283203125,2.769054412841797,272.562744140625,-0.16651958227157593,284.8232421875
2009,2,18,1300,1434676.0,97895.25,278.3515625,-3.2573108673095703,266.24853515625,-1.3025598526000977,280.2021484375
2009,2,19,1300,1465859.0,98107.5625,278.01416015625,-0.7120228409767151,268.501708984375,0.4833029508590698,281.651611328125
2009,2,20,1300,1580740.0,98596.875,281.51953125,0.4870816469192505,268.0048828125,0.30588340759277344,283.7470703125
2009,2,21,1300,1595183.0,98552.9375,283.447509765625,-1.0800867080688477,271.25537109375,1.465188980102539,285.71435546875
2009,2,22,1300,1608105.0,97965.3125,283.6708984375,1.322896957397461,274.9033203125,-0.33003634214401245,287.084228515625
2009,2,23,1300,1573282.0,97345.25,283.546142578125,-0.5720095038414001,276.7392578125,-0.5630249977111816,287.58349609375
2009,2,24,1300,1652201.0,97731.375,282.94921875,-1.6950006484985352,273.663818359375,1.0673742294311523,286.60986328125
