year,month,day,hour,Surface net solar radiation,10 metre V wind component,Surface pressure,2 metre dewpoint temperature,2 metre temperature,10 metre U wind component
2000,1,1,1100,1342342.0,-0.035166118294000626,93640.25,264.9130859375,272.974853515625,0.003943242132663727
2000,1,2,1100,1271027.0,-0.5745762586593628,93796.4375,267.634521484375,274.53515625,0.8294351696968079
2000,1,3,1100,1389336.0,-0.3189062476158142,94059.75,264.3359375,276.6083984375,0.5882865190505981
2000,1,4,1100,1444611.0,-0.27718788385391235,93513.25,264.296875,276.7080078125,0.6405311822891235
2000,1,5,1100,1330554.0,-0.5211473703384399,93418.75,272.522216796875,275.950927734375,0.9839310646057129
2000,1,6,1100,1275281.0,-0.24907159805297852,93490.375,266.97802734375,277.485595703125,0.6366064548492432
2000,1,7,1100,1391370.0,-0.22748172283172607,93598.6875,266.097900390625,277.975341796875,0.09642380475997925
2000,1,8,1100,1381450.0,-0.23034870624542236,93577.125,265.968505859375,276.552734375,0.4479818344116211
2000,1,9,1100,1152904.0,-0.006611030548810959,93465.5625,269.25390625,275.1015625,0.03541012108325958
2000,1,10,1100,1153022.0,0.08088618516921997,93895.3125,268.889404296875,276.664306640625,0.05319558084011078
2000,1,11,1100,1022369.3125,-0.0466519333422184,94445.6875,270.035888671875,274.072265625,0.2390769124031067
2000,1,12,1100,890037.625,0.28639692068099976,94199.0625,268.451171875,273.03955078125,0.11709529161453247
2000,1,13,1100,996967.0625,0.565771758556366,93600.1875,267.944091796875,270.64501953125,-0.26240622997283936
2000,1,14,1100,1543263.0,0.03346620127558708,93391.0625,263.502685546875,273.2548828125,0.2869638204574585
2000,1,15,1100,1378216.0,-0.3735879063606262,93593.5625,271.330322265625,276.6484375,0.7538999915122986
2000,1,16,1100,1254973.0,-0.3698887825012207,93673.1875,270.759521484375,273.583251953125,-0.6079079508781433
2000,1,17,1100,1455590.0,-0.41205722093582153,93206.25,272.20849609375,277.520751953125,1.0247764587402344
2000,1,18,1100,1382259.0,-1.3412895202636719,92366.625,271.93310546875,279.329345703125,1.530146598815918
2000,1,19,1100,2082789.0,0.41856563091278076,93051.9375,267.517333984375,277.318359375,0.41532695293426514
2000,1,20,1100,2189644.0,0.06296271085739136,93677.5625,266.38525390625,275.862060546875,-0.13496547937393188
2000,1,21,1100,2249421.0,-0.8426278233528137,92842.8125,267.239501953125,277.004638671875,1.0379953384399414
2000,1,22,1100,2285470.0,0.3617541790008545,92404.3125,267.69580078125,277.096923828125,-0.17765796184539795
2000,1,23,1100,2312755.0,-0.7007153630256653,91769.75,264.256103515625,275.85888671875,0.9750831127166748
2000,1,24,1100,2409655.0,0.08935534954071045,92343.375,262.25,274.45458984375,-0.5679611563682556
2000,1,25,1100,1557356.0,0.6779763102531433,93514.25,262.260986328125,267.60791015625,-0.8109147548675537
2000,1,26,1100,1816083.0,0.3705487847328186,93954.6875,262.455078125,270.638427734375,0.09788918495178223
2000,1,27,1100,2035156.0,0.24514997005462646,94062.0625,257.679931640625,274.72900390625,0.2100580334663391
2000,1,28,1100,1840806.0,-0.0013511234428733587,93435.1875,261.333740234375,275.184814453125,0.37262606620788574
2000,1,29,1100,1484077.0,0.32179564237594604,92988.875,265.855712890625,274.48876953125,0.08582448959350586
2000,1,30,1100,1229407.0,-1.0037031173706055,92991.375,275.675048828125,279.601318359375,1.0050840377807617
2000,1,31,1100,2150807.0,-0.10136216878890991,93680.375,273.778564453125,284.08740234375,0.6736710071563721
2000,2,1,1100,1918491.0,0.36343491077423096,93925.0625,270.60107421875,280.72412109375,-0.22418749332427979
2000,2,2,1100,812597.875,0.47535520792007446,93251.625,275.011962890625,278.1103515625,-0.43456196784973145
2000,2,3,1100,2635195.0,-0.6946037411689758,93730.3125,273.22705078125,282.682373046875,0.5440188050270081
2000,2,4,1100,2927830.0,0.381065309047699,94803.1875,270.01904296875,279.51953125,-0.7156880497932434
2000,2,5,1100,2521440.0,0.18082940578460693,94382.375,269.45166015625,281.78759765625,0.23778945207595825
2000,2,6,1100,2536371.0,0.4366810917854309,94104.6875,270.5205078125,281.39208984375,-0.15588164329528809
2000,2,7,1100,2237114.0,0.5364632606506348,93500.9375,275.14404296875,280.091064453125,-0.20474588871002197
2000,2,8,1100,1941649.0,0.8379305005073547,93141.5,276.170654296875,280.2470703125,-0.372448205947876
2000,2,9,1100,2955928.0,0.30010509490966797,93001.75,270.365234375,280.46044921875,-0.6270203590393066
2000,2,10,1100,3531579.0,0.38881683349609375,93702.9375,268.3916015625,280.037841796875,-0.41683071851730347
2000,2,11,1100,1868664.0,0.7165639400482178,93355.125,270.899658203125,279.2138671875,-0.5719437599182129
2000,2,12,1100,3172269.0,1.1938657760620117,93506.375,270.700927734375,279.390380859375,-0.1923465132713318
2000,2,13,1100,3005883.0,0.6404438018798828,93354.125,268.773193359375,280.32373046875,-0.5077155828475952
2000,2,14,1100,3731237.0,0.10006988048553467,93210.5,271.36083984375,282.600830078125,0.03286544606089592
2000,2,15,1100,3100260.0,0.7209264636039734,93046.0625,271.623779296875,281.18115234375,-0.31171292066574097
2000,2,16,1100,954166.9375,0.12359917163848877,92022.75,274.830322265625,276.9853515625,-0.18308967351913452
2000,2,17,1100,3339613.0,-0.22804278135299683,91730.375,263.356689453125,276.49462890625,0.09234797954559326
2000,2,18,1100,2502298.0,0.4102911949157715,92577.0,264.08203125,276.359130859375,-0.6851538419723511
2000,2,19,1100,3836162.0,0.23327672481536865,91893.1875,270.184326171875,280.087158203125,-0.5138208270072937
2000,2,20,1100,4038699.0,-1.7568387985229492,92717.25,265.283203125,278.414794921875,0.3856387138366699
2000,2,21,1100,4328035.0,0.4822920560836792,93440.125,263.33251953125,277.73583984375,-0.7641096711158752
2000,2,22,1100,4299014.0,0.7728787660598755,93508.1875,268.82421875,276.142822265625,-0.9497243165969849
2000,2,23,1100,3880688.0,0.7668849229812622,93539.0,268.456298828125,275.48095703125,-0.6692664623260498
